,tradeDate,ADSEZ,APNT,AXSB,BAF,BHARTI,BJAUT,BJFIN,BPCL,BRIT,CIPLA,COAL,DIVI,DRRD,EIM,GAIL,GRASIM,HCLT,HDFC,HDFCB,HDFCLIFE,HMCL,HNDL,HUVR,ICICIBC,IIB,INFO,IOCL,ITC,JSTL,KMB,LT,MM,MSIL,NEST,NTPC,ONGC,PWGR,RIL,SBILIFE,SBIN,SRCM,SUNP,TATA,TCS,TECHM,TTAN,TTMT,UPLL,UTCEM,WPRO
4506,2022-04-12,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
4507,2022-04-13,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
4508,2022-04-14,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0
4509,2022-04-15,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
4510,2022-04-18,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
4511,2022-04-19,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
4512,2022-04-20,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0
4513,2022-04-21,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0
4514,2022-04-22,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0
4515,2099-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
